Langtag,Lognrwords,COMPATIBLE,INCOMPATIBLE
de,5,4214739,77877
de,4,6237693,170247
de,7,1163280,11328
de,6,3193299,29251
de,9,15129,236
de,8,218718,2083
da,11,78,0
da,10,467,27
da,13,3,0
da,12,23,2
da,1,626957,1150398
da,0,315667,414540
da,3,69642,41533
da,2,175624,264703
da,5,447068,50261
da,4,169780,29389
da,7,121617,874
da,6,447562,12533
da,9,4527,39
da,8,38019,144
np,1,0,2
np,0,0,25
np,3,0,3
np,2,0,3
np,4,0,1
dz,1,29,120
dz,0,397,395
dz,3,1,1
dz,2,2,9
dy,1,0,5
dy,0,0,12
dv,1,20842,305
dv,0,2537,39
dv,3,8,4
dv,2,150,89
dv,4,1,0
yp,2,0,1
dt,1,0,1
dt,0,0,1
du,1,0,71
du,3,0,1
du,2,0,10
yu,1,0,1546
yu,0,0,18517
yu,3,0,8
yu,2,0,292
yu,4,0,1
ds,1,0,772
ds,0,0,459
ds,3,0,6
ds,2,0,46
ni,0,0,1
qq,1,0,92
qq,0,0,85
qq,3,0,4
qq,2,0,13
nm,1,0,7
nm,0,0,11
nm,2,0,2
qu,10,6,2
qu,1,96798,37071
qu,0,18728,22824
qu,3,73755,1546
qu,2,24675,9817
qu,5,17359,362
qu,4,64139,423
qu,7,2177,37
qu,6,2429,202
qu,9,32,6
qu,8,53,20
vu,1,0,11
vu,0,0,21
vu,3,0,1
vu,2,0,7
kn,11,21,1
kn,10,69,0
kn,14,1,0
kn,1,118364,28417
kn,0,87601,23153
kn,3,11618,6267
kn,2,19819,20309
kn,5,27950,799
kn,4,12279,2133
kn,7,4738,31
kn,6,6942,245
kn,9,194,5
kn,8,1560,23
zs,1,0,49
zs,0,0,35
zs,2,0,10
ri,0,0,3
ri,2,0,1
ai,1,0,41
ai,0,0,2
ir,1,0,9
ir,2,0,7
em,1,0,7511
em,0,0,99
em,3,0,20
em,2,0,224
el,11,15,2
el,10,171,0
el,12,4,1
el,1,3109906,30337
el,0,412087,14740
el,3,56060,2442
el,2,217315,16695
el,5,129925,92
el,4,46821,315
el,7,39146,27
el,6,119271,93
el,9,2089,2
el,8,14048,0
eo,11,36,21
eo,10,184,49
eo,13,1,0
eo,12,10,13
eo,1,276731,348594
eo,0,203783,326098
eo,3,67629,12527
eo,2,153656,84401
eo,5,203621,2171
eo,4,194950,3611
eo,7,43538,208
eo,6,160488,773
eo,9,1595,46
eo,8,12227,102
en,11,3695,136
en,10,19241,683
en,13,182,3
en,12,752,38
en,15,1,0
en,14,32,0
en,16,1,0
en,1,101885140,34275428
en,0,18042032,13904508
en,3,59026619,2186596
en,2,202963349,18448433
en,5,16593064,56704
en,4,19389489,166113
en,7,4607085,14061
en,6,14813213,27668
en,9,179103,1793
en,8,1263293,5723
zh,11,19,7
zh,10,45,764
zh,13,0,18
zh,12,0,2
zh,1,1891387,3448616
zh,0,8633546,8911494
zh,3,131210,261542
zh,2,352195,943379
zh,5,15102,23717
zh,4,43576,67857
zh,7,1229,2838
zh,6,4443,9195
zh,9,339,7487
zh,8,446,1496
ee,1,0,338
ee,0,0,239
ee,2,0,30
ze,1,0,332
ze,0,0,344
ze,2,0,46
eg,1,0,4
eg,0,0,2
za,1,18104,41
za,0,214,32
za,3,1,0
za,2,82,10
mh,1,0,272
mh,0,0,233
mh,3,0,20
mh,2,0,12
zx,0,0,23
uk,11,206,4
uk,10,962,4
uk,13,1,0
uk,12,26,0
uk,14,1,0
uk,1,2121669,819512
uk,0,934827,725224
uk,3,412964,81596
uk,2,638964,310796
uk,5,1143097,15083
uk,4,777563,11063
uk,7,97706,210
uk,6,319485,655
uk,9,4560,23
uk,8,26498,57
eu,11,2,0
eu,10,42,31
eu,1,495059,519880
eu,0,252689,386243
eu,3,400844,13617
eu,2,126456,148815
eu,5,252771,847
eu,4,317195,1457
eu,7,27517,74
eu,6,86027,284
eu,9,353,9
eu,8,4182,26
et,11,55,18
et,10,249,25
et,13,5,0
et,12,4,2
et,1,340231,185441
et,0,112275,83495
et,3,116498,9237
et,2,125521,45758
et,5,299303,3242
et,4,176404,4054
et,7,35159,219
et,6,94308,601
et,9,1782,64
et,8,11011,89
iu,1,176,199
iu,0,806,26
iu,3,8,1
iu,2,28,2
es,11,290,10
es,10,2694,93
es,13,11,3
es,12,53,0
es,14,4,0
es,1,5013711,9271725
es,0,2522305,2787355
es,3,1312590,668144
es,2,2818657,3782826
es,5,2276864,121634
es,4,1186986,206578
es,7,586868,7347
es,6,1994233,56129
es,9,37115,273
es,8,229493,1605
fu,1,0,8809
fu,0,0,961
fu,3,0,2
fu,2,0,218
ru,11,402,40
ru,10,3853,3924
ru,13,5,2
ru,12,30,0
ru,1,5624573,3983784
ru,0,1590128,2692659
ru,3,919734,329688
ru,2,2172605,4711952
ru,5,2283104,24738
ru,4,1296892,71464
ru,7,288420,1367
ru,6,805443,5471
ru,9,11557,743
ru,8,78987,856
rw,1,543,929
rw,0,381,709
rw,3,4,2
rw,2,207,83
rw,5,1,0
rw,4,1,0
bb,1,0,6
bb,2,0,1
kl,1,588,889
kl,0,317,407
kl,3,0,13
kl,2,21,162
rg,1,0,745
rg,0,0,85
rg,3,0,1
rg,2,0,92
mz,1,0,8912
mz,0,0,254
mz,3,0,9
mz,2,0,2938
ra,2,0,1
bm,1,0,19657
bm,0,0,304
bm,3,0,2
bm,2,0,216
rm,1,734,29702
rm,0,154,2753
rm,3,36,4
rm,2,4591,442
rn,1,22,223
rn,0,54,205
rn,2,9,36
ro,11,378,23
ro,10,1418,611
ro,13,3,2
ro,12,66,3
ro,14,2,0
ro,1,588911,802398
ro,0,155849,504732
ro,3,444473,96061
ro,2,542612,373157
ro,5,353401,9740
ro,4,422206,18325
ro,7,62124,940
ro,6,235810,5496
ro,9,5439,1819
ro,8,23242,352
bn,11,14,7
bn,10,60,6
bn,13,2,0
bn,12,1,1
bn,1,2557268,168832
bn,0,107051,130995
bn,3,245288,13531
bn,2,449015,80736
bn,5,48641,1868
bn,4,59763,4553
bn,7,23033,131
bn,6,43732,583
bn,9,550,13
bn,8,6510,28
be,11,20,12
be,10,131,16
be,12,2,0
be,1,844201,152152
be,0,424833,114583
be,3,137354,10157
be,2,299473,80221
be,5,235722,333
be,4,146982,960
be,7,25999,82
be,6,96713,142
be,9,950,26
be,8,6060,16
we,1,0,7
we,0,0,1
we,2,0,2
bg,11,123,0
bg,10,574,8
bg,12,10,0
bg,1,724755,587844
bg,0,322171,357895
bg,3,128897,27367
bg,2,391571,226861
bg,5,356692,7000
bg,4,206115,12189
bg,7,83637,316
bg,6,317286,2557
bg,9,4097,49
bg,8,27072,94
ba,10,3,0
ba,1,109592,41003
ba,0,26857,37636
ba,3,46555,986
ba,2,87093,9711
ba,5,15836,86
ba,4,81211,161
ba,7,706,12
ba,6,2824,28
ba,9,20,4
ba,8,151,4
wa,10,0,7
wa,12,0,2
wa,1,0,349833
wa,0,0,38896
wa,3,0,2455
wa,2,0,14359
wa,5,0,3125
wa,4,0,1798
wa,7,0,583
wa,6,0,3592
wa,9,0,35
wa,8,0,167
bc,1,0,7741
bc,0,0,181
bc,3,0,8
bc,2,0,198
wo,1,879,2737
wo,0,242,1688
wo,3,19,2
wo,2,123,311
wo,4,2,0
bh,1,135,18851
bh,0,84,954
bh,2,13,113
jv,11,0,12
jv,10,0,48
jv,13,0,2
jv,12,0,2
jv,1,0,266822
jv,0,0,225061
jv,3,0,86555
jv,2,0,89590
jv,5,0,82824
jv,4,0,46623
jv,7,0,11685
jv,6,0,34674
jv,9,0,191
jv,8,0,2237
bo,1,18013,226
bo,0,5017,800
bo,3,5,0
bo,2,24,14
bo,4,1,0
jp,1,0,8
jp,0,0,99
jp,2,0,4
bi,1,45,154
bi,0,2,130
bi,3,7,0
bi,2,17,19
wi,3,0,22
wi,5,0,17
ex,1,0,7280
ex,0,0,247
ex,3,0,3
ex,2,0,101
bu,1,0,690
bu,0,0,2161
bu,2,0,51
wu,1,0,338
wu,0,0,3870
wu,3,0,4
wu,2,0,45
le,1,0,87
le,0,0,79
le,2,0,10
bp,1,0,5485
bp,0,0,418
bp,3,0,1
bp,2,0,1387
bj,1,0,7454
bj,0,0,168
bj,2,0,85
br,10,34,2
br,13,1,0
br,12,1,8
br,1,176237,62528
br,0,39606,28655
br,3,99684,5334
br,2,95218,13000
br,5,92592,1198
br,4,96293,1844
br,7,14574,120
br,6,75030,593
br,9,571,26
br,8,3825,65
bs,11,18,40
bs,10,55,101
bs,12,1,6
bs,1,38716,259390
bs,0,10244,120661
bs,3,13550,20340
bs,2,23232,116383
bs,5,39551,65097
bs,4,21594,28229
bs,7,8527,9975
bs,6,33788,38795
bs,9,386,516
bs,8,2893,2897
tz,1,0,9
tz,0,0,15
tz,2,0,1
bx,1,0,384
bx,0,0,66
bx,2,0,29
ja,11,109,14
ja,10,1505,42
ja,13,7,1
ja,12,28,1
ja,14,3,0
ja,16,0,4
ja,1,4302345,1090006
ja,0,24896670,1251409
ja,3,852500,63212
ja,2,2460056,518678
ja,5,67608,3539
ja,4,237956,8367
ja,7,5443,428
ja,6,20660,720
ja,9,3585,91
ja,8,2292,183
jb,1,0,118
jb,0,0,329
jb,3,0,5
jb,2,0,21
om,1,184,128
om,0,89,151
om,2,14,3
po,1,0,58
po,0,0,5
po,3,0,2
po,2,0,18
ua,1,0,2
ua,0,0,6
jm,1,0,11
jm,0,0,21
jm,3,0,1
jm,2,0,7
ty,1,0,306
ty,0,0,261
ty,3,0,7
ty,2,0,70
oc,11,6,2
oc,10,42,16
oc,1,73925,235830
oc,0,24218,248666
oc,3,76623,9031
oc,2,44266,313048
oc,5,65640,1563
oc,4,276766,5376
oc,7,9559,252
oc,6,40048,921
oc,9,198,50
oc,8,2557,178
kj,1,0,2
kj,0,0,4
tw,1,0,148
tw,0,0,201
tw,2,0,9
ot,1,0,23
ot,0,0,3
ot,2,0,4
os,1,0,626
os,0,0,728
os,3,0,14
os,2,0,172
os,4,0,1
or,1,628859,1170
or,0,12579,720
or,3,139,15
or,2,1425,377
or,4,8,1
bq,0,0,1
ck,1,0,115334
ck,0,0,898
ck,3,0,30
ck,2,0,9468
ck,5,0,1
ck,4,0,3
xh,1,79,452
xh,0,105,154
xh,2,11,18
ch,1,0,7460
ch,0,0,772
ch,3,0,22
ch,2,0,52
co,1,15059,4199
co,0,195,2233
co,3,25,21
co,2,246,521
co,5,0,1
co,4,3,0
cn,1,0,176
cn,0,0,296
cn,3,0,28
cn,2,0,86
cn,4,0,6
cm,1,0,3
cm,0,0,1508
xm,1,0,10826
xm,0,0,2560
xm,3,0,1
xm,2,0,230
al,1,0,268
al,0,0,83
al,2,0,24
cb,1,0,270
cb,0,0,217
cb,3,0,5
cb,2,0,81
ca,11,452,25
ca,10,5209,930
ca,13,13,4
ca,12,30,8
ca,14,1,0
ca,1,1192485,1666277
ca,0,171670,704294
ca,3,353507,110539
ca,2,776337,603912
ca,5,684908,17427
ca,4,1010148,27772
ca,7,207934,1515
ca,6,746246,9251
ca,9,17132,1598
ca,8,84282,742
xa,1,0,80
xa,0,0,25
xa,2,0,7
cg,1,0,15
cg,0,0,37
cg,2,0,5
ce,1,0,388710
ce,0,0,45919
ce,3,0,85
ce,2,0,3134
cd,1,0,128
cd,0,0,152
cd,3,0,1
cd,2,0,2
cz,1,0,16
cz,0,0,1
cz,3,0,1
cz,2,0,15
cy,10,28,0
cy,1,308066,91985
cy,0,73486,36162
cy,3,28863,8331
cy,2,81912,32515
cy,5,88602,2852
cy,4,69425,959
cy,7,27836,62
cy,6,121039,238
cy,9,224,20
cy,8,5414,26
cs,11,147,8
cs,10,501,12
cs,1,2044631,1244552
cs,0,1873660,460949
cs,3,322644,68398
cs,2,897395,444157
cs,5,692356,3584
cs,4,449127,12777
cs,7,115169,283
cs,6,478535,1108
cs,9,2973,64
cs,8,26270,127
cr,1,0,18756
cr,0,0,455
cr,3,0,1
cr,2,0,36
cp,1,0,3
cp,0,0,4
cv,11,0,1
cv,1,0,14304
cv,0,0,10615
cv,3,0,1469
cv,2,0,5006
cv,5,0,119
cv,4,0,301
cv,7,0,6
cv,6,0,51
cv,9,0,16
cv,8,0,2
cu,1,0,84
cu,0,0,55
cu,2,0,9
